1014	GDF5	rna
1015	GDF5	dna
1016	RAD23A	rna
1017	RAD23A	dna
1018	SRSF3	rna
1019	SRSF3	dna
1020	ARHGEF7	rna
1021	ARHGEF7	dna
1022	ATP5MF	rna
1023	ATP5MF	dna
1024	MPHOSPH8	rna
1025	MPHOSPH8	dna
1026	CLK1	rna
1027	CLK1	dna
1028	CD247	rna
1029	CD247	dna
1030	GTPBP4	rna
1031	GTPBP4	dna
1032	MIR222	rna
1033	MIR222	dna
1034	NFATC2	rna
1035	NFATC2	dna
1036	ESR1	rna
1037	ESR1	dna
1038	CHMP2A	rna
1039	CHMP2A	dna
1040	RXRA	rna
1041	RXRA	dna
1042	YWHAH	rna
1043	YWHAH	dna
1044	IGF2R	rna
1045	IGF2R	dna
1046	SOS1	rna
1047	SOS1	dna
1048	LAPTM5	rna
1049	LAPTM5	dna
1050	MCM8	rna
1051	MCM8	dna
1052	HACD1	rna
1053	HACD1	dna
1054	HNRNPUL1	rna
1055	HNRNPUL1	dna
1056	GNB1	rna
1057	GNB1	dna
1058	SMN1	rna
1059	SMN1	dna
1060	DNMT1	rna
1061	DNMT1	dna
1062	SUMO3	rna
1063	SUMO3	dna
1064	ZYX	rna
1065	ZYX	dna
1066	WDR82	rna
1067	WDR82	dna
1068	ATP1B3	rna
1069	ATP1B3	dna
1070	MT-ND2	rna
1071	MT-ND2	dna
1072	ZNF431	rna
1073	ZNF431	dna
1074	USP14	rna
1075	USP14	dna
1076	TNFRSF21	rna
1077	TNFRSF21	dna
1078	PLOD1	rna
1079	PLOD1	dna
1080	AMOTL2	rna
1081	AMOTL2	dna
1082	GPX4	rna
1083	GPX4	dna
1084	IFNGR1	rna
1085	IFNGR1	dna
1086	JAK2	rna
1087	JAK2	dna
1088	TRA2B	rna
1089	TRA2B	dna
1090	PRDX6	rna
1091	PRDX6	dna
1092	DUSP3	rna
1093	DUSP3	dna
1094	EIF4A1	rna
1095	EIF4A1	dna
1096	NCOA1	rna
1097	NCOA1	dna
1098	TWISTNB	rna
1099	TWISTNB	dna
1100	CD81	rna
1101	CD81	dna
1102	PIK3C3	rna
1103	PIK3C3	dna
1104	GSTM2	rna
1105	GSTM2	dna
1106	EZH2	rna
1107	EZH2	dna
1108	SEC22B	rna
1109	SEC22B	dna
1110	AKR1C2	rna
1111	AKR1C2	dna
1112	CDC42	rna
1113	CDC42	dna
1114	RPIA	rna
1115	RPIA	dna
1116	CDC25B	rna
1117	CDC25B	dna
1118	SNRPG	rna
1119	SNRPG	dna
1120	STAT5B	rna
1121	STAT5B	dna
1122	NSF	rna
1123	NSF	dna
1124	RAB4A	rna
1125	RAB4A	dna
1126	CRY1	rna
1127	CRY1	dna
1128	LSM3	rna
1129	LSM3	dna
1130	MIR15A	rna
1131	MIR15A	dna
1132	H2BC13	rna
1133	H2BC13	dna
1134	BLM	rna
1135	BLM	dna
1136	RBL2	rna
1137	RBL2	dna
1138	AP2M1	rna
1139	AP2M1	dna
1140	S100B	rna
1141	S100B	dna
1142	EPHB3	rna
1143	EPHB3	dna
1144	CUL4B	rna
1145	CUL4B	dna
1146	PDCD4	rna
1147	PDCD4	dna
1148	CASP3	rna
1149	CASP3	dna
1150	BLNK	rna
1151	BLNK	dna
1152	ISG15	rna
1153	ISG15	dna
1154	PML	rna
1155	PML	dna
1156	GNS	rna
1157	GNS	dna
1158	COASY	rna
1159	COASY	dna
1160	CDK6	rna
1161	CDK6	dna
1162	NXF1	rna
1163	NXF1	dna
1164	GTF2I	rna
1165	GTF2I	dna
1166	ABL1	rna
1167	ABL1	dna
1168	CHEK1	rna
1169	CHEK1	dna
1170	IL1B	rna
1171	IL1B	dna
1172	GMPPB	rna
1173	GMPPB	dna
1174	RPA3	rna
1175	RPA3	dna
1176	AXIN1	rna
1177	AXIN1	dna
